Статус;Дата изменения;Полное название организации;Наименование социальной задачи;Выберите направление социальной задачи ( До 3х напрвлений);Опишите социальную задачу, которую должен решить обучающийся, и как эта задача связана с деятельностью организации;Опишите целевую аудиторию благополучателей решаемой социальной задачи;Опишите предполагаемый механизм действий в ходе выполнения социальной задачи;Желаемый продукт по итогам выполнения социальной задачи;C10;C11;C12;C13
Отклонена;2024-11-21;"Государственное образовательное учреждение высшего образования московской области """"Государственный гуманитарно-технологический университет""""";Орехово-Зуево - литературный город России;Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями;Повышение интереса орехово-зуевцев и гостей города к литературной истории и сегодняшнему дню литературного движения в Орехово-Зуевском г.о. Целью проекта является участие студентов филологического факультета ГГТУ в литературной жизни Орехово-Зуевского г.о. в качестве авторов художественных произведений, публицистических заметок, собирателей краеведческого материала.;В реализации  проекта предполагается участие членов литературного кружка «Ветви» (ГГТУ), а также студентов филологического факультета совместно с социальными партнерами проекта, которые представлены Домом культуры на Площади Пушкина, Детской библиотекой «Аз-Буки», Центральной городской библиотекой им. М.Горького, Парком 30-летия Победы, другими заинтересованными организациями.;Литературная учеба Пропаганда творчества талантливых орехово-зуевцев  Участие в литературных мероприятиях  Публикации материалов по проекту;"Оформление экспозиции, посвященной 100-летию литературного объединения ""Основа"" г. Орехово-Зуево";;;;
Отклонена;2024-11-21;"Государственное образовательное учреждение высшего образования московской области """"Государственный гуманитарно-технологический университет""""";«Творить добро так просто»;Другое;"Сформировать у подрастающего поколения активную гражданскую позицию; содействовать нравственному, эстетическому и гражданскому воспитанию школьников; привлечь детей к поиску механизмов решения актуальных проблем городского сообщества через разработку и реализацию социально значимого проекта; сформировать чувство личной ответственности за жизнь и состояние городских животных; развить инициативу и творчество школьников через организацию социально значимой деятельности.";Бездомные животные;Информирование в социальных сетях о проблемах бездомных животных  Сбор благотворительной помощи  Посещение приюта бездомных животных;В результате проекта была оказана посильная помощь приюту для животных  «Ронда». На собранные деньги в результате будут закуплены лекарства, корма и средства ухода для животных;;;;
Отклонена;2024-11-21;"Региональная общественная организация """"Ветераны специальной военной операции """"Защитники родины"""" города санкт-петербурга""""";"Региональная общественная организация ""Ветераны Специальной Военной Операции ""Защитники Родины"" города Санкт-Петербурга""";"Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями; Экология. Проекты, связанные с оценкой и мониторингом экосистем, разработкой устойчивых методов использования природных ресурсов и решением проблем экологического сохранения; Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия";Уборка территории вокруг памятника героям Краснодона, знакомство с историей памятника;Студенты ГУМРФ;Убрать территорию, организация субботника, изучение исторического материала;Повышение знаний студентов вуза, знакомство с территорией района.;;;;
Отклонена;2024-11-21;"Государственное образовательное учреждение высшего образования московской области """"Государственный гуманитарно-технологический университет""""";Волонтерская помощь Орехово-Зуевскому благочинию Балашихинской епархии Русской Православной Церкви. Храм Великомученицы Параскевы Пятницы ( г.Дрезна) Храм Новомучеников Орехово-Зуевских (г.Орехово-Зуево);Другое;Совершенствование системы духовно-нравственного, патриотического воспитания молодежи посредством вовлечения студентов в волонтерскую деятельность через помощь в организации работы воскресных школ. Популяризация духовно-нравственного, патриотического воспитания молодежи в СМИ. Помощь в организации просветительских мероприятий на базе Храма Великомученицы Параскевы Пятницы ( г.Дрезна) и Храма Новомучеников Орехово-Зуевских (г.Орехово-Зуево);Обучающиеся образовательных организаций г.Орехово-Зуево и г.Дрезна, которые смогут получать принять участие в волонтерских акциях, организованных воскресными школами.;"1.	Помощь волонтеров в подготовке, организации и проведении мероприятий в соответствии с планом работы воскресных школ. 2.	Проведение волонтерских акций духовно-нравственного, патриотического характера для  детей и молодежи. 3.	Помощь волонтеров в организации конкурса и создании экспозиции «Православная книга» (ко Дню православной книги). 4.	Помощь волонтеров в организации конкурсов и мастер-классов тематического характера (Рождественские открытки, Письмо солдату, Пасхальный благовест и др.)";Развитие системы духовно-нравственного воспитания школьников;;;;
Отклонена;2024-11-21;"Государственное образовательное учреждение высшего образования московской области """"Государственный гуманитарно-технологический университет""""";Волонтерская помощь Муниципальному учреждению культуры «Орехово-Зуевский городской историко-краеведческий музей».;Другое;Совершенствование системы патриотического воспитания молодежи посредством вовлечения студентов в творческий процесс по изучению истории малой Родины через создание краеведческого медиаконтента. Популяризация наследия музея в СМИ. Помощь в организации просветительских мероприятий на базе МУК ОЗГИКМ.;Обучающиеся образовательных организаций, жители и гости городского округа Орехово-Зуево, которые смогут получать информацию о музее как посредством дистанционных технологий, так и в ходе личного посещения.;"1.	Помощь волонтеров в подготовке, организации и проведении мероприятий, приуроченных к 95-летнему юбилею Орехово-Зуевского городского историко-краеведческого музея. 2.	Выявление обучающимися интересных фактов и необычных вещей, реликвий и документов среди экспонатов музея с целью создания цикла короткометражных просветительских видеосюжетов для продвижения наследия музея. 3.	Помощь волонтеров в создании музейной экспозиции «Усадьба Оглоблина как пример городской усадьбы рубежа XIX – начала XX века».";Краеведческий медиаконтент;;;;
Отклонена;2024-11-21;"Региональная общественная организация """"Ветераны специальной военной операции """"Защитники родины"""" города санкт-петербурга""""";"Региональная общественная организация ""Ветераны Специальной Военной Операции ""Защитники Родины"" города Санкт-Петербурга""";"Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями";организация и проведение экскурсии для ветеранов СВО в крепость Орешек, социальная реабилитация участников СВО;ветераны СВО и члены их семей;организация экскурсии, проведение;социальная реабилитация участников СВО;;;;
Отклонена;2024-11-21;Волонтерский отряд Западно-Сибирской Железной Дороги;Популяризация патриотического проекта «Уроки о важном» и проведение тематических встреч на «Станции ДОБРА»;"Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями";"Социальная задача, которую должен решить обучающийся в рамках направлений ""культура"" и ""образование и просвещение"", может заключаться в формировании у участников общества активной гражданской позиции, развитии навыков социальной ответственности, а также распространении знаний о значении культурных и образовательных инициатив для общего благополучия. Это может включать улучшение взаимодействия между различными социальными и культурными группами, поддержку местных традиций и культур, а также распространение важности образования и просвещения для устойчивого развития.  Западно-Сибирский дорожный совет по корпоративному волонтерству, как часть корпоративной социальной ответственности, может сыграть важную роль в решении этой задачи. Дорожный совет может организовывать волонтерские программы, которые будут направлены на улучшение инфраструктуры, поддержку образовательных инициатив, а также на сохранение и популяризацию культурных традиций региона. Например, корпоративные волонтеры могут участвовать в организации культурных мероприятий, образовательных курсов для молодежи, а также в волонтерских проектах, связанных с улучшением условий для проведения массовых культурных и образовательных акций.  Задача обучающегося будет заключаться в разработке и реализации таких программ, которые помогают развивать гражданскую активность и образованность, а Западно-Сибирский дорожный совет по корпоративному волонтерству может поддерживать эти инициативы через организацию волонтерской деятельности, предоставление ресурсов и создание партнерств с местными образовательными и культурными учреждениями.";1. Молодежь (школьники, студенты): развитие социальной ответственности, знаний о культурных ценностях, улучшение образовательных и профессиональных навыков, создание возможностей для культурной самореализации.  2. Дети и подростки: доступ к мероприятиям, а также развитие ценностей.  3. Пенсионеры: социальная интеграция, поддержка в освоении новых знаний и технологий, участие в культурных и образовательных программах, предотвращение социальной изоляции.  4. Местные сообщества и этнические группы: сохранение и распространение местных культурных традиций, доступ к образовательным и культурным ресурсам, интеграция и поддержка в многонациональном обществе.  5. Широкий круг заинтересованных граждан (включая корпоративных волонтеров): развитие социальной ответственности, участие в значимых проектах, поддержка культурных и образовательных инициатив.  6. Местные образовательные учреждения (школы, колледжи, университеты): развитие партнерств с культурными и образовательными учреждениями для создания новых возможностей для студентов, повышение качества образования через участие в волонтерских проектах и культурных инициативах.;"1. Тиражирование и масштабирование проекта «Уроки о важном» в образовательных учреждениях (Финалист Международной Премии #МЫВМЕСТЕ 2023 года в категории «Бизнес», Ответственный бизнес. Подноминация крупный бизнес.  Западно-Сибирская железная дорога в лице волонтерского отряда магистрали получила статус партнёра национального проекта «Образование» с мероприятиями по патриотическому воспитанию «Уроки о важном» в 2024 году). Чтобы расширить кругозор учащихся, сотрудники Западно-Сибирской железной дороги в 2016 году запустили «Уроки мужества: Эшелоны Победы». У проекта есть еще одно направление — уроки безопасного поведения. За несколько лет 32 тыс. учащихся получили новые знания о Великой Отечественной войне, правилах поведения на железнодорожном транспорте и его работе. Авторы ставят перед собой задачу снизить не менее чем на 50% количество случаев детского травматизма. Цели проекта: 1. Повысить качество знаний учащихся школ и профессиональных учебных заведений, воспитанников детских домов по истории ВОВ и о вкладе железнодорожников в Победу. 2. Снизить не менее чем на 50% количество случаев травматизма детей на объектах железнодорожного транспорта.    2. Проведение тематических мастер-классов, выставок, образовательных встреч, тренингов в Центрах социальных инициатив железнодорожников «Станция ДОБРА» - площадки для корпоративных волонтеров Западно-Сибирской железной дороги: 1. В Новосибирске в здании Дорожного центра научно-технической информации и библиотек (ул. Дмитрия Шамшурина, 39); 2. В Омске в здании Омского территориального управления Западно-Сибирской железной дороги (ул. Леконта, 4).  В отремонтированных помещениях установлена новая офисная мебель и оргтехника. Отдельная зона оборудована для проведения презентаций.";1. Вовлечение большего числа молодежи в реализацию и масштабирование проекта «Уроки о важном» в образовательных учреждениях (школах, сузах, вузах, в том числе интернатах и детских домах), проведение встреч по проекту.  2. Проведение тематических выставок, мастер-классов на «Станции ДОБРА» в Новосибирске и Омске.;;;;
Отклонена;2024-11-25;Хабаровский дорожный штаб Дальневосточной железной дороги;Помощь и поддержка неработающих пенсионеров;"Социальные исследования. Проекты, связанные с изучением социальных явлений и проблем, анализом данных и разработкой рекомендаций для улучшения социальной сферы; Другое; Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах";В связи с выходом на пенсию неработающие пенсионеры нуждаются в поддержке, но многие по состоянию здоровья или другим причинам не могут вести активный образ жизни и наша задача привлечь их занятию спортом, культурным мероприятиям, работе с молодежью.;Неработающие пенсионеры, пожилые люди, ветераны войны и труда.;В связи с уходом пенсионеров на заслуженный отдых чтобы ни один пенсионер не остался без внимания, в рамках проекта пожилые люди получат оздоровление, приобретут навыки социального общения, творческих способностей от участия в мастер-классах и обучающих лекциях в «Клубе досуга», что позволит  в дальнейшем реализовывать в работе с молодежью для сохранения связи поколений, общение со сверстниками, освоение новых полезных навыков, интеллектуальное развитие, разнообразный досуг.;Основная задача – это забота об одиноких, малообеспеченных пожилых людей, больных и инвалидов. Вовлечение их в социально активную жизнь, прививать интерес к  здоровому образу жизни и физической активности.;;;;
Отклонена;2024-11-25;"Автономная некоммерческая организация """"Спортивный комплекс """"Спортлекс""""";Проведение концертной программы для детей с ограниченными возможностями здоровья в Международный день инвалидов 3 декабря;"Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения; Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия";В решении данной задачи мы хотим создать для детей с ОВЗ, инвалидностью настоящий праздник, который будет посвящен им, родителям и всем желающим!  Концертная программа, подготовленная такими же детьми, их сверстниками, школьниками поможет почувствовать заботу и любовь. Дети с ограниченными возможностями здоровья требуют особого внимания не только со стороны своих родителей, но и окружающих людей. В виду своих особенностей они малоподвижны, зачастую не социализированы и замкнуты. В общении со сверстниками сложнее коммуницируют, редко выходят в общественные места.  А при реализации данной задачи, для особенных детей будет организован настоящий концерт, с веселыми и яркими номерами и сюрпризами. Концерт пройдет в помещении, где ребята адаптировались и освоились, их привычный спортивный зал. Зал будет празднично украшен своими силами, в преддверии праздника.;Дети с ОВЗ, инвалидностью от 7 до 18 лет;Предлагаем организаторам познакомиться с ребятами, узнать их лучше, поближе. А страница Вконтакте поможет увидеть все проекты и тренировки, которые посещают наши участники.  Предлагается согласование концертных номеров и продолжительности с психологом, в виду особенностей детей.;Праздничный концерт с яркими и веселыми номерами, продолжительностью не более 45 минут.;;;;
Отклонена;2024-11-25;МАОУ г Нягани «Гимназия»;.;"Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения; Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями";.;.;.;.;;;;
Отклонена;2024-11-25;"МАОУ г. Нягань """"Гимназия""""";обучение;Искусство, дизайн. Проекты, связанные с созданием произведений искусства в живописи, графике, кино и телевидении, музыке, а также с дизайном интерьеров, разработкой ландшафтного дизайна, оформлением общественных пространств;Служение отечеству;Подростки;Патриотизм;Патриотизм;;;;
Отклонена;2024-11-25;"МАОУ МО """"Гимназия""""";обучение служению;"Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения; Юриспруденция. Проекты, связанные с юридическим консультированием, разработкой правовых документов, анализом законодательства и предоставлением правовой поддержки в различных сферах деятельности; Экология. Проекты, связанные с оценкой и мониторингом экосистем, разработкой устойчивых методов использования природных ресурсов и решением проблем экологического сохранения";мусор собирать, помогать сохранять природу;дети, взрослые;берем пакет, складываем мусор;нет мусора;;;;
Отклонена;2024-11-25;МАОУ МО ГИМНАЗИЯ;Даже незнаю;"Искусство, дизайн. Проекты, связанные с созданием произведений искусства в живописи, графике, кино и телевидении, музыке, а также с дизайном интерьеров, разработкой ландшафтного дизайна, оформлением общественных пространств; Экология. Проекты, связанные с оценкой и мониторингом экосистем, разработкой устойчивых методов использования природных ресурсов и решением проблем экологического сохранения; Юриспруденция. Проекты, связанные с юридическим консультированием, разработкой правовых документов, анализом законодательства и предоставлением правовой поддержки в различных сферах деятельности";Прикольно конечно;Незнаю даже;Пиддиди;Йогурт апетишка;;;;
Отклонена;2024-11-25;"Общество с ограниченной ответственностью """"Бизнес ГИД""""";Помощь в проведение мероприятия - конференции;"Ит-решения. Проекты, связанные с разработкой программного обеспечения, веб-приложений, систем аналитики данных, кибербезопасности и автоматизации бизнес-процессов, концепции механизмов администрирования информационных систем; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями; Другое";Помочь гостям мероприятия с навигацией на площадке, помочь с кофе-брейком.;Инноваторы, люди, которые занимаются технологическим суверенитетом страны.;Прийти на месте всё будет понятно. Задача не сложная.;Приятная атмосфера.;;;;
Отклонена;2024-11-26;Государственное автономное учреждение дополнительного профессионального образования Ярославской области «Институт развития образования»;Государственное автономное учреждение дополнительного профессионального образования Ярославской области  «Институт развития образования»;"Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями; Решения для развития региона. Проекты по созданию и развитию инфраструктуры, улучшению условий жизни в регионе, разработке программ для поддержки социально-экономического развития; Социальные исследования. Проекты, связанные с изучением социальных явлений и проблем, анализом данных и разработкой рекомендаций для улучшения социальной сферы";"Финансовое просвещение различных целевых категорий населения;, а также разработка и реализация комплексной системы мер финансового просвещения для населения в целях обеспечения популяризации добровольческого движения в сфере финансового просвещения.";Учащиеся школ Ярославской области и образовательных организаций среднего профессионального и высшего образования Ярославской области. Данная аудитория является ядром для волонтерского движения, а также аудиторией для реализации мер по финансовому просвещению.;"осуществление деятельности по финансовому просвещению в формате лекций, презентаций и других обучающих мероприятий для различных целевых аудиторий;  - мероприятия по финансовому просвещению в игровых форматах для различных целевых аудиторий;  - наблюдение и мониторинг за деятельностью участников финансового рынка на предмет выявления фактов недобросовестного оказания финансовых услуг, мошенничества и иных нарушений действующего законодательства Российской Федерации;  - участие в организации проведения мероприятий в области повышения уровня финансовой грамотности населения;  - привлечение, отбор, обучение и координации деятельности других волонтеров;  - активное участие в деятельности, направленной на развитие финансового просвещения, в том числе социальное проектирование.";"Развитие и поддержка добровольческого сообщества в сфере финансового просвещения и организация взаимодействия по вопросам финансовой грамотности;  Реализация программ подготовки волонтеров по различным направлениям, имеющим отношение к тематике финансовой грамотности.";;;;
Отклонена;2024-11-27;"Благотворительный фонд помощи тяжело больным детям """"Дети Ярославии""""";Руководитель;Другое;"Организация и проведение Благотворительной акции ""ДоброЁлка"" для детей с инвалидностью и ОВЗ города Ярославля и его области.";Дети с инвалидностью и ОВЗ в возрасте от 0 до 18 лет;Встреча с исполнителями, работа с заявками, PR-кампания акции, контроль, завершение акции, анализ и оценка.;Вручить подарки детям с инвалидностью и ОВЗ, попавшим в трудную жизненную ситуацию.;;;;
Отклонена;2024-11-27;"Муниципальное бюджетное учреждение культуры """"Бакчарская межпоселенческая централизованная библиотечная система""""";"МБУК ""Бакчарская МЦБС""";Экология. Проекты, связанные с оценкой и мониторингом экосистем, разработкой устойчивых методов использования природных ресурсов и решением проблем экологического сохранения;создание эффективного экологического библиотечного проекта;жители Бакчарского района Томской области;Создание эффективного экологического библиотечного проекта и его реализация на территории Бакчарского района. Привлечение к проекту библиотекарей из филиалов.;Экологический библиотечный проект;;;;
Отклонена;2024-11-27;"Муниципальное бюджетное учреждение дополнительного образования """"Центр внешкольной работы Зеленолдольского муниципального района республики Татарстан""""";Социальное волонтерство – волонтерская (добровольческая) деятельность;"Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения; Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Другое";"Социальное волонтерство – волонтерская (добровольческая) деятельность, направленная на. оказание помощи, прежде всего, незащищенным слоям населения, нуждающимся во внимании. и (или) п остоянном уходе. •	Помощь людям в трудной жизненной ситуации. Например, пожилым, людям с инвалидностью, многодетным семьям, бездомным.   •	Организация досуга. Волонтёры могут проводить мастер-классы и праздники для подопечных различных фондов и особых категорий граждан.   •	Помощь семьям с детьми. Например, в проведении праздников и акций для семей с детьми, находящихся в трудной жизненной ситуации. Также активисты могут помогать своими знаниями, опытом и навыками в юридических и психологических вопросах или стать репетиторами и социальными нянями.  •	Забота о бездомных гражданах. Волонтёры могут доставлять продукты и горячие обеды маломобильным и пожилым людям, участвовать в социальном сопровождении бездомных граждан и организации сбора гуманитарной помощи •	Помощь людям старшего поколения. Добровольцы оказывают поддержку в домах престарелых или людям пенсионного возраста, которые остались одни и нуждаются в уходе. Наш Центр курирет работу волонтеров Зеленодольского района.";"•	Дети-сироты. Для них важна дружба на определённом этапе жизни, передача опыта личного эмоционального и доверительного контакта, помощь в принятии решений и понимании своих эмоций, мотивация к обучению и выбору дальнейшей профессии, обучение коммуникативным навыкам.   •	Одинокие люди, нуждающиеся в постоянном общении. Им необходима эмоциональная поддержка, преодоление одиночества, прогулки, совместный досуг и помощь в быту.   •	Дети в больницах. Для них важно отвлечение от больничной действительности через общение, игры и творчество, развитие у детей понимания своего потенциала и ощущения их внутренней значимости, налаживание коммуникации и дружеского общения между детьми.  •	Пожилые люди в домах престарелых. У них огромная потребность в общении, бедность досуга, жизнь «в рамках», отсутствие выбора, малоподвижность, подавленность и безынициативность.   Также к целевой аудитории волонтёрской деятельности можно отнести молодёжь 18–30 лет с активной жизненной позицией, жизнерадостную и ответственную, готовую принимать участие в социальных (культурных, экологических) добровольческих акциях.";"1.	Ознакомление волонтёров с особенностями функционирования конкретного учреждения. Им предоставляют распорядок дня, правила соблюдения санитарно-гигиенического и пропускного режима, знакомят с особенностями контингента обслуживаемых граждан и наиболее распространёнными потребностями.   2.	Обсуждение наиболее приемлемых временных сроков посещения. Происходит уточнение, почему именно эти сроки. 3.	Определение перечня наиболее актуальных видов помощи. Учреждение просит оказать содействие в конкретном перечне наиболее актуальных видов помощи.  4.	Заключение договора о сотрудничестве и взаимодействии.   Некоторые виды помощи, которые могут оказывать волонтёры: o	доставка на дом продуктов питания и предметов первой необходимости; o	покупка и доставка корма для домашних животных;   o	помощь в приготовлении пищи и мытье посуды;   o	уборка квартиры и приусадебного участка;   o	помощь в написании и отправке писем;  o	сопровождение к врачу, родственникам, пешие прогулки;   o	беседы, выслушивание, общение, мотивация к активности;  o	проведение матер- классов и досуговых мероприятий;  o	содействие в адвокатской помощи, разнообразном консультировании.   При посещении подопечных в учреждении волонтёры должны соблюдать его внутренние правила. Также они не должны разглашать персональные данные и размещать фотографии своих подопечных без их разрешения.";"•	Организация досуга. Проведение праздничных мероприятий, конкурсов, акций, бесед, игровых, творческих, тематических, литературно-музыкальных программ с различными категориями получателей социальных услуг.   •	Сокращение периода адаптации и успешная реабилитация. Поддержание психического и психологического здоровья пожилых людей.   •	Повышение социальной активности получателей социальных услуг и их интереса к общественной жизни.   •	Передача жизненного опыта, расширение списка контактов.   •	Сохранение культурных и духовных ценностей, приобщение граждан к ним.   •	Создание постоянно действующей волонтёрской группы, приобретение участниками опыта волонтёрской деятельности.   •	Повышение уровня духовности и милосердия у участников волонтёрских движений.   •	Увлечённость идеями добра и красоты, духовного и физического совершенствования.";;;;
